Model,R2_train,R2_test,RMSE_test,MAE_test
SVR,0.898113504088426,0.6300379051550964,1.787491907037069,1.3764244983421805
GradientBoost,0.9255277417277012,0.6016798415965646,1.8547339100214222,1.3978423597898983
RandomForest,0.9425307189705333,0.5580191103071444,1.9537420108491528,1.48774396551724
Linear,0.6460357096994498,0.47735746262906953,2.1245543521502133,1.6877876263866933
PLS,0.6029469530979186,0.46381377196874685,2.151906001130733,1.682593323590386
